,GPU Util (%),Power (W)
50%,99.79,265.50874999999996
count,763.25,4691.0
max,100.0,462.045
mean,77.91309200025255,287.51562856381423
min,0.0,255.55249999999998
std,38.51023746469854,56.93832827905155
