Config,Energy (J),Elapsed Time (S),Mean Power (W),Avg Energy per run (J)
1x1,221071.76,1057.0,209.15,55267.94
1x4,475929.04,1212.0,98.17,118982.26
2x4,345574.74,715.0,120.83,86393.69
2x8,727094.63,1075.0,84.55,181773.66
4x4,306092.34,552.0,138.63,76523.08
